/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S008C002P031R001A028.skeleton,28,31
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S005C001P010R001A017.skeleton,17,10
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S014C001P025R001A030.skeleton,30,25
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S008C001P019R001A017.skeleton,17,19
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S007C002P016R001A025.skeleton,25,16
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S009C003P007R001A017.skeleton,17,7
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S006C001P023R001A003.skeleton,3,23
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S008C001P030R001A012.skeleton,12,30
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S010C002P013R001A046.skeleton,46,13
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S015C003P037R001A001.skeleton,1,37
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S008C003P036R001A004.skeleton,4,36
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S007C002P007R001A015.skeleton,15,7
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S008C001P019R001A031.skeleton,31,19
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S008C001P036R001A011.skeleton,11,36
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S007C003P026R001A023.skeleton,23,26
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S011C003P008R001A014.skeleton,14,8
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S006C001P024R001A043.skeleton,43,24
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S001C002P005R001A022.skeleton,22,5
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S002C003P011R001A024.skeleton,24,11
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S010C003P025R001A032.skeleton,32,25
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S016C002P008R001A002.skeleton,2,8
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S002C001P009R001A022.skeleton,22,9
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S017C001P016R001A049.skeleton,49,16
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S001C003P007R001A030.skeleton,30,7
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S013C002P007R001A039.skeleton,39,7
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S014C001P008R001A003.skeleton,3,8
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S003C002P008R001A025.skeleton,25,8
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S010C002P017R001A045.skeleton,45,17
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S012C001P027R001A025.skeleton,25,27
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S001C001P007R001A042.skeleton,42,7
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S007C001P017R001A025.skeleton,25,17
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S010C001P007R001A016.skeleton,16,7
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S001C001P003R001A049.skeleton,49,3
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S001C003P003R001A001.skeleton,1,3
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S002C001P003R001A029.skeleton,29,3
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S011C002P008R001A033.skeleton,33,8
/home/ajitopensource/Projects/3D human motion prediction/nturgbd_skeletons/S004C001P008R001A010.skeleton,10,8
